date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-09-03,136.61,137.2,135.7,136.04,18880773.0,136.3875,MSFT,136.29928571428573,136.59552024975116,136.5312380952381,136.5073397666586,136.58988742095715,-47.65193370165763,49.37782818687553,23.712490782107032,4.0,133.39,138.12,137.86,137.86,137.86,139.1
2019-09-04,137.3,137.69,136.48,137.63,18015310.0,137.275,MSFT,136.56,136.73345088311768,136.70866666666666,136.77656768002177,136.961899956411,-25.690607734806786,52.88716218081414,22.865782116612017,4.0,133.39,137.86,137.86,137.86,137.86,139.1
2019-09-05,139.11,140.38,138.76,140.05,26119520.0,139.575,MSFT,137.01500000000001,137.17565743203534,137.174,137.59627099841418,138.08405617149631,-4.353562005276844,57.69429171864651,22.867742039885734,4.0,135.45,137.86,137.86,137.86,136.04,139.1
2019-09-06,140.03,140.18,138.2,139.1,20824504.0,139.3775,MSFT,137.22714285714287,137.4322364410973,137.452,138.019136673146,138.58599893339766,-16.886543535620103,55.3085061252565,22.629912013529538,4.0,135.74,137.86,137.86,136.04,137.63,137.52
2019-09-07,140.03,140.18,138.2,139.1,20824504.0,139.3775,MSFT,137.22714285714287,137.4322364410973,137.452,138.019136673146,138.58599893339766,-16.886543535620103,55.3085061252565,22.629912013529538,4.0,135.56,137.86,136.04,137.63,140.05,136.08
2019-09-08,140.03,140.18,138.2,139.1,20824504.0,139.3775,MSFT,137.22714285714287,137.4322364410973,137.452,138.019136673146,138.58599893339766,-16.886543535620103,55.3085061252565,22.629912013529538,4.0,138.12,136.04,137.63,140.05,139.1,136.12
2019-09-09,139.59,139.75,136.46,137.52,25773932.0,138.33,MSFT,137.16357142857143,137.443938248951,137.49104761904763,137.9627266835331,138.39497708461357,-37.730870712400936,51.49453115150491,21.694348975817036,4.0,137.86,137.63,140.05,139.1,139.1,137.52
2019-09-10,136.8,136.89,134.51,136.08,28903378.0,136.07,MSFT,137.0792857142857,137.26207981575755,137.34657142857145,137.55408581696102,137.73215805563598,-56.728232189973504,48.230193998791606,20.181760563097185,4.0,137.86,140.05,139.1,139.1,139.1,137.32
2019-09-11,135.91,136.27,135.09,136.12,24726117.0,135.8475,MSFT,136.88857142857142,137.1098025069899,137.21866666666668,137.23090070710094,137.23710988633908,-56.20052770448548,48.328181307557216,18.777214179857328,4.0,137.86,139.1,139.1,139.1,137.52,137.32
2019-09-12,137.85,138.42,136.87,137.52,27009981.0,137.665,MSFT,136.86999999999998,137.1644955060579,137.30285714285714,137.31684787867977,137.34931611686224,-37.730870712400936,51.769077633129264,18.152921461149937,4.0,137.86,139.1,139.1,137.52,136.08,137.32
2019-09-13,137.78,138.06,136.57,137.32,23363057.0,137.4325,MSFT,137.1507142857143,137.18522943858352,137.36285714285714,137.33523756971132,137.36134503350792,-44.80234260614948,51.244090962778266,17.451124778063683,4.0,136.04,139.1,137.52,136.08,136.12,136.33
2019-09-14,137.78,138.06,136.57,137.32,23363057.0,137.4325,MSFT,137.1507142857143,137.18522943858352,137.36285714285714,137.33523756971132,137.36134503350792,-44.80234260614948,51.244090962778266,17.451124778063683,4.0,137.63,137.52,136.08,136.12,137.52,137.39
2019-09-15,137.78,138.06,136.57,137.32,23363057.0,137.4325,MSFT,137.1507142857143,137.18522943858352,137.36285714285714,137.33523756971132,137.36134503350792,-44.80234260614948,51.244090962778266,17.451124778063683,4.0,140.05,136.08,136.12,137.52,137.32,138.52
2019-09-16,135.83,136.7,135.66,136.33,16731440.0,136.13,MSFT,137.21357142857144,137.07119884677238,137.2534285714286,137.1023793808468,137.02202193202424,-59.29721815519755,48.61596232595034,16.42576731109557,4.0,139.1,136.12,137.52,137.32,137.32,141.07
2019-09-17,136.96,137.52,136.43,137.39,17976285.0,137.075,MSFT,137.33142857142857,137.11370566720274,137.27695238095237,137.1775680411069,137.1362491799798,-43.77745241581283,51.48498729873898,15.783518543344584,4.0,139.1,137.52,137.32,137.32,137.32,139.44
